OTU_ID,taxonomy
OTU_694,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Unassigned.Bacteroidales; g__Unassigned.Bacteroidales; s__Unassigned.Bacteroidales
OTU_212,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Barnesiellaceae; g__Unassigned.Barnesiellaceae; s__Unassigned.Barnesiellaceae
OTU_21,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Barnesiellaceae; g__Unassigned.Barnesiellaceae; s__Unassigned.Barnesiellaceae
OTU_311,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__Unassigned.Pedobacter
OTU_341,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidetes VC2.1 Bac22; f__Unassigned.Bacteroidetes VC2.1 Bac22; g__Unassigned.Bacteroidetes VC2.1 Bac22; s__Unassigned.Bacteroidetes VC2.1 Bac22
OTU_1158,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Sediminibacterium; s__Unassigned.Sediminibacterium
OTU_529,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Unassigned.Chitinophagaceae; s__Unassigned.Chitinophagaceae
OTU_325,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__Lewinella; s__Unassigned.Lewinella
OTU_407,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__Fluviicola; s__Unassigned.Fluviicola
OTU_530,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__Fluviicola; s__Unassigned.Fluviicola
OTU_1083,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium; s__Chryseobacterium indologenes
OTU_543,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Cloacibacterium; s__Unassigned.Cloacibacterium
OTU_926,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__Unassigned.Flavobacterium
OTU_57,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__Unassigned.Flavobacterium
OTU_1140,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__Unassigned.Flavobacterium
OTU_268,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__Unassigned.Flavobacterium
OTU_331,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__Unassigned.Flavobacterium
OTU_514,k__Bacteria; p__Chloroflexi; c__KD4-96; o__Unassigned.KD4-96; f__Unassigned.KD4-96; g__Unassigned.KD4-96; s__Unassigned.KD4-96
OTU_226,k__Bacteria; p__Chloroflexi; c__KD4-96; o__Unassigned.KD4-96; f__Unassigned.KD4-96; g__Unassigned.KD4-96; s__Unassigned.KD4-96
OTU_495,k__Bacteria; p__Chloroflexi; c__KD4-96; o__Unassigned.KD4-96; f__Unassigned.KD4-96; g__Unassigned.KD4-96; s__Unassigned.KD4-96
OTU_1024,k__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Thermomicrobiales; f__JG30-KF-CM45; g__Unassigned.JG30-KF-CM45; s__Unassigned.JG30-KF-CM45
OTU_568,k__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Thermomicrobiales; f__JG30-KF-CM45; g__Unassigned.JG30-KF-CM45; s__Unassigned.JG30-KF-CM45
OTU_100,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__Unassigned.A4b; s__Unassigned.A4b
OTU_219,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__Unassigned.A4b; s__Unassigned.A4b
OTU_227,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__RBG-13-54-9; f__Unassigned.RBG-13-54-9; g__Unassigned.RBG-13-54-9; s__Unassigned.RBG-13-54-9
OTU_567,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__RBG-13-54-9; f__Unassigned.RBG-13-54-9; g__Unassigned.RBG-13-54-9; s__Unassigned.RBG-13-54-9
OTU_859,k__Bacteria; p__Chloroflexi; c__JG30-KF-CM66; o__Unassigned.JG30-KF-CM66; f__Unassigned.JG30-KF-CM66; g__Unassigned.JG30-KF-CM66; s__Unassigned.JG30-KF-CM66
OTU_39,k__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Herpetosiphonaceae; g__Herpetosiphon; s__Unassigned.Herpetosiphon
OTU_494,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae; g__Unassigned.Caldilineaceae; s__Unassigned.Caldilineaceae
OTU_526,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae; g__Unassigned.Caldilineaceae; s__Unassigned.Caldilineaceae
