simpleUniqueID,SampleID,SampleID_old,stock,treat_c ,timepoint,control,student,check,depth,GSI,BC,ate_fry,source_tank,gen,treat_tank,length_mm,mass_g,gonad_g,brood_size,treat_c ,a,b,c,d,e,f
R14.L.4,R14.L.4,LSR14.4,LS,R14,4,treat,KE,y,41693,3.215434084,0.1797,yes,1-2-335,lab,Z,46.7,3.11,0.1,,R14,0,2,1,2,0,0
R14.L.5,R14.L.5,LSR14.5,LS,R14,4,treat,KE,y,10919,6.25,0.3388,no,1-1-240,lab,UZ,52,4.08,0.255,15,R14,0,2,1,2,0,0
R14.W.10,R14.W.10,WSR14.10,WS,R14,4,treat,KE,n,10372,NA,0.1398,no,2-2-335,F5,UZ,45,2.81,,8,R14,0,2,1,2,0,0
R14.W.11,R14.W.11,WSR14.11,WS,R14,4,treat,KE,y,12657,4.545454545,0.3217,no,5-2-335,F3,Z,42.7,2.64,0.12,,R14,0,2,1,2,0,0
R14.W.2,R14.W.2,WSR14.2,WS,R14,4,treat,KE,y,29322,5.5,0.2478,no,5-1-140,F3,Z,39,2,0.11,8,R14,0,2,1,2,0,0
R14.W.3,R14.W.3,WSR14.3,WS,R14,4,treat,KE,y,43732,3.984063745,-0.3897,no,5-1-335,F5,Z,46.5,2.51,0.1,13,R14,0,2,1,2,0,0
R14.W.4,R14.W.4,WSR14.4,WS,R14,4,treat,KE,y,29854,5.204918033,-0.1231,no,5-1-140,F3,Z,44.3,2.44,0.127,5,R14,0,2,1,2,0,0
R14.W.6,R14.W.6,WSR14.6,WS,R14,4,treat,KE,y,53527,4.343891403,-0.0777,no,1-2-240,F3,Z,42.5,2.21,0.096,10,R14,0,2,1,2,0,0
R14.W.7,R14.W.7,WSR14.7,WS,R14,4,treat,KE,y,9397,4.678362573,-0.3941,no,5-1-140,F3,Z,41.3,1.71,0.08,,R14,0,2,1,2,0,0
R14.W.8,R14.W.8,WSR14.8,WS,R14,4,treat,KE,y,35754,1.83908046,-0.1193,no,5-1-140,F3,Z,39.7,1.74,0.032,,R14,0,2,1,2,0,0
R14.W.9,R14.W.9,WSR14.9,WS,R14,4,treat,KE,y,9753,1.775147929,-0.5142,no,mara,F4,UZ,53,3.38,0.06,24,R14,0,2,1,2,0,0
XF.1,XF.1,F.1,WS,XF,2,fed,MB,y,48122,8.828337875,0.296,NA,1-2-140,F4,Z,49.6,3.67,0.324,0,XF,2,0,2,1,2,0
XF.2,XF.2,F.2,WS,XF,2,fed,MB,y,94975,2.647058824,0.1178,NA,1-2-140,F4,Z,49,3.4,0.09,66,XF,2,0,2,1,2,0
XF.3,XF.3,F.3,WS,XF,2,fed,MB,y,5987,4.028436019,0.693,NA,5-2-335,F4,Z,50.6,4.22,0.17,33,XF,2,0,2,1,2,0
XF.4,XF.4,F.4,WS,XF,2,fed,MB,y,34234,6.006006006,0.3232,NA,1-2-140,F4,Z,47.2,3.33,0.2,39,XF,2,0,2,1,2,0
XF.6,XF.6,F.6,WS,XF,2,fed,MB,y,54728,7.511737089,0.6718,NA,5-2-335,F4,Z,51,4.26,0.32,40,XF,2,0,2,1,2,0
XS.2,XS.2,S.2,WS,XS,2,starved,MB,y,40470,6.18902439,-0.094,NA,1-2-140,F4,Z,49.6,3.28,0.203,25,XS,2,2,0,2,1,1
XS.3,XS.3,S.3,WS,XS,2,starved,MB,y,26648,4.726368159,0.2329,NA,NA,F3,Z,52.3,4.02,0.19,NA,XS,2,2,0,2,1,1
XS.4,XS.4,S.4,WS,XS,2,starved,MB,y,41581,1.206225681,0.0069,NA,5/2/50,F4,Z,44.3,2.57,0.031,33,XS,2,2,0,2,1,1
XS.5,XS.5,S.5,WS,XS,2,starved,MB,y,28412,1.444444444,-0.215,NA,5/2/50,F4,Z,46.6,2.7,0.039,43,XS,2,2,0,2,1,1
XS.6,XS.6,S.6,WS,XS,2,starved,MB,y,95962,1.207729469,0.2917,NA,5-1-140,F4,Z,52.7,4.14,0.05,43,XS,2,2,0,2,1,1
